,loc_sido,loc_gun,cnt_hos,bed,remain_bed,pop,nurse,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
0,강원도,강릉시,3.0,79.0,24.0,216542.0,3.0,61339,18656,13586,9988,8900,6185,4024,65832.0,144.8958823529412
1,강원도,동해시,2.0,66.0,1.0,87801.0,3.0,24762,7662,5655,4087,3680,2278,1400,28349.0,68.52294117647058
2,강원도,삼척시,1.0,51.0,8.0,65939.0,1.0,21481,6050,4525,3591,3311,2377,1627,17543.0,65.4464705882353
3,강원도,속초시,2.0,119.0,5.0,80054.0,2.0,22194,7239,4986,3556,3055,2062,1296,27323.0,70.26823529411764
4,강원도,영월군,1.0,27.0,1.0,36282.0,1.0,14753,4248,3297,2309,2283,1671,945,9242.0,64.63176470588235
5,강원도,원주시,3.0,131.0,23.0,352429.0,8.0,76620,26789,16898,10822,10081,7434,4596,121739.0,173.52823529411765
6,강원도,인제군,0.0,0.0,0.0,30147.0,1.0,9039,2900,1960,1246,1338,964,631,11613.0,63.709411764705884
7,강원도,철원군,1.0,1.0,0.0,43042.0,1.0,13060,3674,2634,2243,2265,1473,771,15572.0,63.711176470588235
8,강원도,춘천시,2.0,64.0,13.0,284645.0,8.0,68563,21478,14964,10196,10015,7299,4611,102821.0,167.14352941176472
9,강원도,평창군,1.0,0.0,0.0,39258.0,2.0,15742,4797,3493,2470,2278,1748,956,9659.0,63.711176470588235
10,강원도,홍천군,1.0,0.0,0.0,66587.0,3.0,24317,7508,5379,3635,3325,2737,1733,19934.0,63.711176470588235
11,강원도,횡성군,1.0,1.0,0.0,44649.0,1.0,18100,5557,3997,2721,2588,1983,1254,11358.0,63.711176470588235
12,경기도,가평군,0.0,0.0,0.0,60233.0,4.0,20727,6227,4697,3225,2990,2147,1441,19602.0,63.709411764705884
13,경기도,고양시,6.0,303.0,76.0,1045497.0,30.0,206667,71951,43059,32104,27180,19838,12535,360247.0,478.6864705882353
14,경기도,광명시,2.0,53.0,3.0,298116.0,5.0,61136,21771,14674,9997,7228,4509,2957,114995.0,138.88823529411764
15,경기도,광주시,1.0,47.0,1.0,385141.0,6.0,75227,27399,18471,12469,8635,5097,3156,124139.0,138.0735294117647
16,경기도,구리시,1.0,26.0,5.0,192051.0,4.0,39356,14167,9133,6367,4829,3021,1839,77635.0,66.55941176470589
17,경기도,군포시,2.0,45.0,13.0,275571.0,7.0,54274,20161,11980,8232,6305,4426,3170,99467.0,162.0235294117647
18,경기도,김포시,2.0,183.0,11.0,474546.0,6.0,81981,27553,19308,14450,10295,6307,4068,187655.0,169.62176470588236
19,경기도,남양주시,3.0,72.0,10.0,696033.0,16.0,139890,46476,32447,24238,18547,11449,6733,247605.0,371.11176470588236
20,경기도,동두천시,0.0,0.0,0.0,95239.0,8.0,24519,7188,5059,4346,3838,2669,1419,31835.0,69.01411764705882
21,경기도,부천시,4.0,61.0,26.0,833148.0,23.0,170072,65734,40441,26302,18220,11713,7662,273350.0,491.9570588235294
22,경기도,성남시,6.0,153.0,49.0,922025.0,16.0,189747,65252,43845,31963,23594,15022,10071,328540.0,428.72705882352943
23,경기도,수원시,6.0,159.0,56.0,1210150.0,21.0,195000,71541,44515,31327,23274,14865,9478,411788.0,479.1023529411765
24,경기도,시흥시,3.0,75.0,13.0,535147.0,12.0,71949,28892,15976,10562,7922,5378,3219,193514.0,167.08058823529413
25,경기도,안산시,4.0,83.0,20.0,717345.0,17.0,110666,44151,24244,16184,12271,8402,5414,228649.0,313.9905882352941
26,경기도,안성시,2.0,7.0,3.0,203030.0,9.0,43950,13887,9944,7169,5802,4409,2739,61080.0,80.1564705882353
27,경기도,안양시,2.0,28.0,14.0,542336.0,7.0,112997,41802,26511,17645,12896,8422,5721,199157.0,308.04058823529414
28,경기도,양주시,0.0,0.0,0.0,233286.0,12.0,49050,16144,11062,8493,6761,4133,2457,78138.0,139.0441176470588
29,경기도,양평군,1.0,0.0,0.0,113844.0,8.0,39331,11581,9357,6643,5519,3693,2538,34159.0,71.95470588235294
30,경기도,여주시,1.0,8.0,11.0,113352.0,6.0,32029,9811,7539,5045,4470,3108,2056,38896.0,68.43058823529412
31,경기도,연천군,1.0,1.0,0.0,42278.0,1.0,14575,4048,2968,2560,2228,1716,1055,13739.0,63.711176470588235
32,경기도,오산시,1.0,100.0,9.0,240645.0,5.0,32612,11829,7510,5299,4094,2506,1374,88136.0,77.37117647058824
33,경기도,용인시,4.0,342.0,88.0,1066975.0,23.0,193234,58579,43548,35901,27571,16996,10639,365314.0,403.04470588235296
34,경기도,의왕시,0.0,0.0,0.0,160230.0,4.0,33625,12793,7892,5069,3667,2447,1757,63413.0,63.61588235294118
35,경기도,의정부시,5.0,85.0,28.0,449572.0,8.0,97835,32728,21659,16657,13204,8643,4944,165602.0,295.2217647058824
36,경기도,이천시,1.0,67.0,7.0,226212.0,6.0,43451,14662,9781,6826,5563,3994,2625,87976.0,75.62411764705882
37,경기도,파주시,2.0,0.0,0.0,460541.0,22.0,87190,27910,18513,14666,12423,8445,5233,167068.0,207.99
38,경기도,평택시,4.0,32.0,12.0,542522.0,9.0,91594,31220,20025,14740,11989,8464,5156,229851.0,213.4629411764706
39,경기도,포천시,2.0,11.0,4.0,157939.0,5.0,40082,13833,8521,6332,5207,3834,2355,48955.0,66.97764705882354
40,경기도,하남시,0.0,0.0,0.0,279795.0,6.0,54316,19535,13877,9437,5788,3412,2267,115522.0,102.77
41,경기도,화성시,4.0,25.0,8.0,880859.0,12.0,110239,40101,25821,17816,12539,8502,5460,344139.0,327.9294117647059
42,경상남도,거제시,3.0,52.0,25.0,246965.0,2.0,40559,15736,9723,6082,4299,2778,1941,81337.0,90.04705882352941
43,경상남도,거창군,0.0,0.0,0.0,59595.0,3.0,21248,5427,4241,3523,3257,2882,1918,18390.0,63.709411764705884
44,경상남도,고성군,1.0,1.0,0.0,50016.0,2.0,19539,4862,4146,3431,2975,2412,1713,12690.0,63.711176470588235
