,stdDay,gubun,deathCnt
0,2020년 3월 1일 16시,합계,18.0
1,2020년 3월 1일 16시,서울,0.0
2,2020년 3월 1일 16시,부산,0.0
3,2020년 3월 1일 16시,대구,9.0
4,2020년 3월 1일 16시,인천,0.0
5,2020년 3월 1일 16시,광주,0.0
6,2020년 3월 1일 16시,대전,0.0
7,2020년 3월 1일 16시,울산,0.0
8,2020년 3월 1일 16시,세종,0.0
9,2020년 3월 1일 16시,경기,1.0
10,2020년 3월 1일 16시,강원,0.0
11,2020년 3월 1일 16시,충북,0.0
12,2020년 3월 1일 16시,충남,0.0
13,2020년 3월 1일 16시,전북,0.0
14,2020년 3월 1일 16시,전남,0.0
15,2020년 3월 1일 16시,경북,8.0
16,2020년 3월 1일 16시,경남,0.0
17,2020년 3월 1일 16시,제주,0.0
18,2020년 3월 1일 16시,검역,0.0
19,2020년 3월 4일 00시,합계,32.0
20,2020년 3월 4일 00시,서울,0.0
21,2020년 3월 4일 00시,부산,1.0
22,2020년 3월 4일 00시,대구,24.0
23,2020년 3월 4일 00시,인천,0.0
24,2020년 3월 4일 00시,광주,0.0
25,2020년 3월 4일 00시,대전,0.0
26,2020년 3월 4일 00시,울산,0.0
27,2020년 3월 4일 00시,세종,0.0
28,2020년 3월 4일 00시,경기,1.0
29,2020년 3월 4일 00시,강원,0.0
30,2020년 3월 4일 00시,충북,0.0
31,2020년 3월 4일 00시,충남,0.0
32,2020년 3월 4일 00시,전북,0.0
33,2020년 3월 4일 00시,전남,0.0
34,2020년 3월 4일 00시,경북,6.0
35,2020년 3월 4일 00시,경남,0.0
36,2020년 3월 4일 00시,제주,0.0
37,2020년 3월 5일 00시,합계,35.0
38,2020년 3월 5일 00시,서울,0.0
39,2020년 3월 5일 00시,부산,1.0
40,2020년 3월 5일 00시,대구,27.0
41,2020년 3월 5일 00시,인천,0.0
42,2020년 3월 5일 00시,광주,0.0
43,2020년 3월 5일 00시,대전,0.0
44,2020년 3월 5일 00시,울산,0.0
45,2020년 3월 5일 00시,세종,0.0
46,2020년 3월 5일 00시,경기,1.0
47,2020년 3월 5일 00시,강원,0.0
48,2020년 3월 5일 00시,충북,0.0
49,2020년 3월 5일 00시,충남,0.0
50,2020년 3월 5일 00시,전북,0.0
51,2020년 3월 5일 00시,전남,0.0
52,2020년 3월 5일 00시,경북,6.0
53,2020년 3월 5일 00시,경남,0.0
54,2020년 3월 5일 00시,제주,0.0
55,2020년 3월 6일 00시,합계,42.0
56,2020년 3월 6일 00시,서울,0.0
57,2020년 3월 6일 00시,부산,1.0
58,2020년 3월 6일 00시,대구,30.0
59,2020년 3월 6일 00시,인천,0.0
60,2020년 3월 6일 00시,광주,0.0
61,2020년 3월 6일 00시,대전,0.0
62,2020년 3월 6일 00시,울산,0.0
63,2020년 3월 6일 00시,세종,0.0
64,2020년 3월 6일 00시,경기,1.0
65,2020년 3월 6일 00시,강원,0.0
66,2020년 3월 6일 00시,충북,0.0
67,2020년 3월 6일 00시,충남,0.0
68,2020년 3월 6일 00시,전북,0.0
69,2020년 3월 6일 00시,전남,0.0
70,2020년 3월 6일 00시,경북,10.0
71,2020년 3월 6일 00시,경남,0.0
72,2020년 3월 6일 00시,제주,0.0
73,2020년 3월 7일 00시,합계,44.0
74,2020년 3월 7일 00시,서울,0.0
75,2020년 3월 7일 00시,부산,1.0
76,2020년 3월 7일 00시,대구,31.0
77,2020년 3월 7일 00시,인천,0.0
78,2020년 3월 7일 00시,광주,0.0
79,2020년 3월 7일 00시,대전,0.0
80,2020년 3월 7일 00시,울산,0.0
81,2020년 3월 7일 00시,세종,0.0
82,2020년 3월 7일 00시,경기,1.0
83,2020년 3월 7일 00시,강원,1.0
84,2020년 3월 7일 00시,충북,0.0
85,2020년 3월 7일 00시,충남,0.0
86,2020년 3월 7일 00시,전북,0.0
87,2020년 3월 7일 00시,전남,0.0
88,2020년 3월 7일 00시,경북,10.0
89,2020년 3월 7일 00시,경남,0.0
90,2020년 3월 7일 00시,제주,0.0
91,2020년 3월 8일 00시,합계,50.0
92,2020년 3월 8일 00시,서울,0.0
93,2020년 3월 8일 00시,부산,1.0
94,2020년 3월 8일 00시,대구,35.0
95,2020년 3월 8일 00시,인천,0.0
96,2020년 3월 8일 00시,광주,0.0
97,2020년 3월 8일 00시,대전,0.0
98,2020년 3월 8일 00시,울산,0.0
99,2020년 3월 8일 00시,세종,0.0
100,2020년 3월 8일 00시,경기,1.0
101,2020년 3월 8일 00시,강원,1.0
102,2020년 3월 8일 00시,충북,0.0
103,2020년 3월 8일 00시,충남,0.0
104,2020년 3월 8일 00시,전북,0.0
105,2020년 3월 8일 00시,전남,0.0
106,2020년 3월 8일 00시,경북,12.0
107,2020년 3월 8일 00시,경남,0.0
108,2020년 3월 8일 00시,제주,0.0
109,2020년 3월 9일 00시,합계,51.0
110,2020년 3월 9일 00시,서울,0.0
111,2020년 3월 9일 00시,부산,0.0
112,2020년 3월 9일 00시,대구,35.0
113,2020년 3월 9일 00시,인천,0.0
114,2020년 3월 9일 00시,광주,0.0
115,2020년 3월 9일 00시,대전,0.0
116,2020년 3월 9일 00시,울산,0.0
117,2020년 3월 9일 00시,세종,0.0
118,2020년 3월 9일 00시,경기,1.0
119,2020년 3월 9일 00시,강원,1.0
120,2020년 3월 9일 00시,충북,0.0
121,2020년 3월 9일 00시,충남,0.0
122,2020년 3월 9일 00시,전북,0.0
123,2020년 3월 9일 00시,전남,0.0
124,2020년 3월 9일 00시,경북,14.0
125,2020년 3월 9일 00시,경남,0.0
126,2020년 3월 9일 00시,제주,0.0
127,2020년 3월 10일 00시,합계,54.0
128,2020년 3월 10일 00시,서울,0.0
129,2020년 3월 10일 00시,부산,0.0
130,2020년 3월 10일 00시,대구,38.0
131,2020년 3월 10일 00시,인천,0.0
132,2020년 3월 10일 00시,광주,0.0
133,2020년 3월 10일 00시,대전,0.0
134,2020년 3월 10일 00시,울산,0.0
135,2020년 3월 10일 00시,세종,0.0
136,2020년 3월 10일 00시,경기,1.0
137,2020년 3월 10일 00시,강원,1.0
138,2020년 3월 10일 00시,충북,0.0
139,2020년 3월 10일 00시,충남,0.0
140,2020년 3월 10일 00시,전북,0.0
141,2020년 3월 10일 00시,전남,0.0
142,2020년 3월 10일 00시,경북,14.0
143,2020년 3월 10일 00시,경남,0.0
144,2020년 3월 10일 00시,제주,0.0
145,2020년 3월 11일 00시,합계,60.0
146,2020년 3월 11일 00시,서울,0.0
147,2020년 3월 11일 00시,부산,1.0
148,2020년 3월 11일 00시,대구,43.0
149,2020년 3월 11일 00시,인천,0.0
150,2020년 3월 11일 00시,광주,0.0
151,2020년 3월 11일 00시,대전,0.0
152,2020년 3월 11일 00시,울산,0.0
153,2020년 3월 11일 00시,세종,0.0
154,2020년 3월 11일 00시,경기,1.0
155,2020년 3월 11일 00시,강원,1.0
156,2020년 3월 11일 00시,충북,0.0
157,2020년 3월 11일 00시,충남,0.0
158,2020년 3월 11일 00시,전북,0.0
159,2020년 3월 11일 00시,전남,0.0
160,2020년 3월 11일 00시,경북,14.0
161,2020년 3월 11일 00시,경남,0.0
162,2020년 3월 11일 00시,제주,0.0
163,2020년 3월 12일 00시,합계,66.0
164,2020년 3월 12일 00시,서울,0.0
165,2020년 3월 12일 00시,부산,0.0
166,2020년 3월 12일 00시,대구,48.0
167,2020년 3월 12일 00시,인천,0.0
168,2020년 3월 12일 00시,광주,0.0
169,2020년 3월 12일 00시,대전,0.0
170,2020년 3월 12일 00시,울산,0.0
171,2020년 3월 12일 00시,세종,0.0
172,2020년 3월 12일 00시,경기,1.0
173,2020년 3월 12일 00시,강원,1.0
174,2020년 3월 12일 00시,충북,0.0
175,2020년 3월 12일 00시,충남,0.0
176,2020년 3월 12일 00시,전북,0.0
177,2020년 3월 12일 00시,전남,0.0
178,2020년 3월 12일 00시,경북,16.0
179,2020년 3월 12일 00시,경남,0.0
180,2020년 3월 12일 00시,제주,0.0
181,2020년 3월 13일 00시,합계,67.0
182,2020년 3월 13일 00시,서울,0.0
183,2020년 3월 13일 00시,부산,0.0
184,2020년 3월 13일 00시,대구,48.0
185,2020년 3월 13일 00시,인천,0.0
186,2020년 3월 13일 00시,광주,0.0
187,2020년 3월 13일 00시,대전,0.0
188,2020년 3월 13일 00시,울산,0.0
189,2020년 3월 13일 00시,세종,0.0
190,2020년 3월 13일 00시,경기,2.0
191,2020년 3월 13일 00시,강원,1.0
192,2020년 3월 13일 00시,충북,0.0
193,2020년 3월 13일 00시,충남,0.0
194,2020년 3월 13일 00시,전북,0.0
195,2020년 3월 13일 00시,전남,0.0
196,2020년 3월 13일 00시,경북,16.0
197,2020년 3월 13일 00시,경남,0.0
198,2020년 3월 13일 00시,제주,0.0
199,2020년 3월 14일 00시,합계,72.0
200,2020년 3월 14일 00시,서울,0.0
201,2020년 3월 14일 00시,부산,0.0
202,2020년 3월 14일 00시,대구,51.0
203,2020년 3월 14일 00시,인천,0.0
