,요양기관명,종별코드명,주소,x좌표,y좌표,시도명,시군구명
0,(의) 예림의료재단 청록요양병원,요양병원,전라북도 김제시 남북로 202 (요촌동),126.8849356,35.8021381,전라북도,김제시
1,(의)대선의료재단으뜸요양병원,요양병원,"경기도 안산시 상록구 용신로 352 (본오동, 목화웨딩홀)",126.8611509,37.3015417,경기도,안산시
2,(의)백천의료재단 우리네요양병원,요양병원,경상남도 김해시 내외중앙로 73 (내동),128.8666918,35.2366041,경상남도,김해시
3,(의)서호의료재단 서호광안요양병원,요양병원,부산광역시 수영구 수영로536번길 71 (광안동),129.1158587,35.1527373,부산광역시,수영구
4,(의)수의료재단 서청솔요양병원,요양병원,경상남도 김해시 금관대로1084번길 15 (흥동)[*미고시],128.8507902,35.2240003,경상남도,김해시
5,(의)수지의료재단수지요양병원,요양병원,"경기도 용인시 수지구 풍덕천로22번길 15 수지요양병원 지하1,지상2~6층 (풍덕천동)",127.0848582,37.3168605,경기도,용인시
6,(의)영님의료재단 개금중앙요양병원,요양병원,"부산광역시 부산진구 개금온정로 5 지하1,지상3층 (개금동, 성원상떼뷰)",129.0247268,35.153754,부산광역시,부산진구
7,(의)유일재단 하나애요양병원,요양병원,경기도 용인시 처인구 백옥대로916번길 48 (남동),127.2135214,37.219342,경기도,용인시
8,(의)일오의료재단성모요양병원,요양병원,"경상남도 김해시 김해대로 2479-1 (삼정동, 김해성모병원)",128.8980324,35.2281381,경상남도,김해시
9,(의)피터의료재단새소망요양병원,요양병원,부산광역시 기장군 기장읍 기장해안로 552 (),129.226905,35.2228262,부산광역시,기장군
10,(의)현당의료재단 늘봄요양병원,요양병원,"경기도 용인시 수지구 포은대로59번길 17 광교복합의료센터,지하1층,1층일부,2층~4층,6층 (상현동)",127.0658441,37.3010717,경기도,용인시
11,(의)환명의료재단 경상남도립김해노인전문병원,요양병원,경상남도 김해시 김해대로 1814-39 (삼계동),128.8610034,35.2616213,경상남도,김해시
12,(재)대성재단 대성제일요양병원,요양병원,경기도 부천시 부흥로373번길 18 (심곡동),126.7838118,37.4920088,경기도,부천시
13,(학교법인 경암학원)봉정요양병원,요양병원,전라북도 군산시 쌍천로 82-3 (개정동),126.7591357,35.9711595,전라북도,군산시
14,365강서수요양병원,요양병원,"서울특별시 강서구 양천로 35 1~6층 (방화동, 강서성심병원)",126.8077064,37.5729765,서울특별시,강서구
15,BB요양병원,요양병원,울산광역시 북구 염포로 353 (양정동),129.3780269,35.5593556,울산광역시,북구
16,BH대학효요양병원,요양병원,부산광역시 서구 구덕로 164-7 (토성동3가),129.020361,35.0996073,부산광역시,서구
17,가나안요양병원,요양병원,부산광역시 수영구 수영로 563-1 지하1~10층 (광안동),129.1124247,35.1561769,부산광역시,수영구
18,가야요양병원,요양병원,"충청남도 천안시 동남구 영성로 7 (영성동, 가야요양병원)",127.1505959,36.7989313,충청남도,천안시
19,가야이요양병원,요양병원,경상북도 성주군 성주읍 주산로 183 (성주읍),128.3040303,35.9330786,경상북도,성주군
20,가온요양병원,요양병원,인천광역시 남동구 남동대로 797 가온 요양병원 (구월동),126.7078003,37.453577,인천광역시,남동구
21,가은병원,요양병원,"경기도 부천시 마니로24번길 43-17 (송내동, 가은병원A동)",126.7688193,37.4774769,경기도,부천시
22,가족사랑 요양병원,요양병원,부산광역시 부산진구 새싹로 286 4~9층 (초읍동),129.0473059,35.1816671,부산광역시,부산진구
23,가창파티마요양병원,요양병원,대구광역시 달성군 가창면 가창로85길 24-6 (),128.6498543,35.7500312,대구광역시,달성군
24,가평산속요양병원,요양병원,경기도 가평군 상면 대보간선로 889 (),127.4044314,37.7889464,경기도,가평군
25,가평푸른숲요양병원,요양병원,경기도 가평군 상면 물골길 262-23 (),127.3042454,37.8409096,경기도,가평군
26,간절곶자연요양병원,요양병원,울산광역시 울주군 서생면 용리길 165-11 (),129.3226471,35.3667274,울산광역시,울주군
27,감꽃요양병원,요양병원,경상북도 청도군 각북면 헐티로 1229 (),128.5663118,35.7143845,경상북도,청도군
28,감인의료재단 신갈백세요양병원,요양병원,경기도 용인시 기흥구 신정로159번길 60 신갈백세암요양병원 (신갈동),127.0971813,37.2868405,경기도,용인시
29,감인의료재단 청라백세요양병원,요양병원,인천광역시 서구 로봇랜드로249번길 14 (경서동),126.6100301,37.5291364,인천광역시,서구
30,강경효사랑요양병원,요양병원,충청남도 논산시 강경읍 여강로 1294 (강경읍),127.0128202,36.1506988,충청남도,논산시
31,강남센트럴요양병원,요양병원,서울특별시 송파구 송이로 156 태정타워 (가락동),127.1246503,37.4930599,서울특별시,송파구
32,강남수요양병원,요양병원,"서울특별시 관악구 신림로64길 11 지1층,2~11층 (신림동, 성재빌딩)",126.9304624,37.4851884,서울특별시,관악구
33,강남요양병원,요양병원,서울특별시 서초구 서초중앙로 197 (반포동),127.0120817,37.4993952,서울특별시,서초구
34,강남요양병원,요양병원,광주광역시 동구 남문로 622 (소태동),126.9316265,35.1264293,광주광역시,동구
35,강남요양병원,요양병원,"대구광역시 동구 동촌로 207 (방촌동, 강남병원)",128.663437,35.88299,대구광역시,동구
36,강남요양병원,요양병원,울산광역시 남구 중앙로 187-1 (신정동),129.3127437,35.5377468,울산광역시,남구
37,강남제일요양병원,요양병원,경기도 광주시 오포읍 새말길 188 (),127.1633822,37.3745378,경기도,광주시
38,강남효요양병원,요양병원,서울특별시 관악구 남부순환로 1704 (봉천동),126.9394042,37.4830572,서울특별시,관악구
39,강동서울대효요양병원,요양병원,"경기도 하남시 미사대로 472 SR광장프라자 204~208호,3층,4층,5층호 (망월동)",127.2008721,37.5622044,경기도,하남시
40,강동성모요양병원,요양병원,서울특별시 강동구 올림픽로80길 31 로뎀빌딩 (천호동),127.1271993,37.5434735,서울특별시,강동구
41,강동스마일요양병원,요양병원,"경기도 하남시 미사강변대로54번길 70 산우빌딩 지3, 지1, 1층일부, 2~5층호 (풍산동)",127.1894676,37.5558132,경기도,하남시
42,강동요양병원,요양병원,"경기도 용인시 기흥구 구갈로 70 (구갈동, 구갈메가타운 8,9층)",127.1116877,37.2805767,경기도,용인시
