시도명,시군구명,총인구 (명)
,전국,51829136
,읍부,5113052
,면부,4650781
,동부,42065303
,,
서울특별시,종로구,151291
서울특별시,중구,128744
서울특별시,용산구,225882
서울특별시,성동구,291918
서울특별시,광진구,353967
서울특별시,동대문구,351057
서울특별시,중랑구,385663
서울특별시,성북구,438833
서울특별시,강북구,299535
서울특별시,도봉구,315979
서울특별시,노원구,511982
서울특별시,은평구,463102
서울특별시,서대문구,317209
서울특별시,마포구,365612
서울특별시,양천구,439068
서울특별시,강서구,564854
서울특별시,구로구,435442
서울특별시,금천구,249419
서울특별시,영등포구,403619
서울특별시,동작구,392772
서울특별시,관악구,502641
서울특별시,서초구,401749
서울특별시,강남구,508135
서울특별시,송파구,643288
서울특별시,강동구,444434
,,
,읍부,141436
,면부,28029
,동부,3179551
부산광역시,중구,41439
부산광역시,서구,105303
부산광역시,동구,87246
부산광역시,영도구,113224
부산광역시,부산진구,351403
부산광역시,동래구,263345
부산광역시,남구,269111
부산광역시,북구,280177
부산광역시,해운대구,389535
부산광역시,사하구,312057
부산광역시,금정구,237219
부산광역시,강서구,136734
부산광역시,연제구,204947
부산광역시,수영구,171461
부산광역시,사상구,216350
부산광역시,기장군,169465
,,2410700
,읍부,237111
,면부,23902
,동부,2149687
대구광역시,중구,74278
대구광역시,동구,333294
대구광역시,서구,170437
대구광역시,남구,145588
대구광역시,북구,446466
대구광역시,수성구,412912
대구광역시,달서구,566712
대구광역시,달성군,261013
,,2945454
,읍부,21601
,면부,63711
,동부,2860142
인천광역시,중구,138586
인천광역시,동구,61285
인천광역시,연수구,390260
인천광역시,남동구,528927
인천광역시,부평구,500812
인천광역시,계양구,292852
인천광역시,서구,541534
인천광역시,미추홀구,405886
인천광역시,강화군,66020
인천광역시,옹진군,19292
,,1477573
광주광역시,동구,106005
광주광역시,서구,294854
광주광역시,남구,214860
광주광역시,북구,439352
광주광역시,광산구,422502
,,1488435
대전광역시,동구,232559
대전광역시,중구,231959
대전광역시,서구,478629
대전광역시,유성구,368895
대전광역시,대덕구,176393
,,1135423
,읍부,190747
,면부,34303
,동부,910373
울산광역시,중구,214147
울산광역시,남구,320175
울산광역시,동구,159000
울산광역시,북구,217051
울산광역시,울주군,225050
,,353933
,읍부,48736
,면부,52383
,동부,252814
세종특별자치시,세종시,353933
,,13511676
,읍부,1488992
,면부,810588
,동부,11212096
경기도,수원시,1210150
경기도,장안구,278507
경기도,권선구,373381
경기도,팔달구,187922
경기도,영통구,370340
경기도,성남시,922025
경기도,수정구,249044
경기도,중원구,211880
경기도,분당구,461101
경기도,의정부시,449572
경기도,안양시,542336
경기도,만안구,240986
경기도,동안구,301350
경기도,부천시,833148
경기도,광명시,298116
경기도,평택시,542522
경기도,동두천시,95239
경기도,안산시,717345
경기도,상록구,359979
경기도,단원구,357366
경기도,고양시,1045497
경기도,덕양구,460881
경기도,일산동구,292616
경기도,일산서구,292000
경기도,과천시,58018
경기도,구리시,192051
경기도,남양주시,696033
경기도,오산시,240645
경기도,시흥시,535147
경기도,군포시,275571
경기도,의왕시,160230
경기도,하남시,279795
경기도,용인시,1066975
경기도,처인구,268242
경기도,기흥구,434871
경기도,수지구,363862
경기도,파주시,460541
경기도,이천시,226212
경기도,안성시,203030
경기도,김포시,474546
경기도,화성시,880859
경기도,광주시,385141
경기도,양주시,233286
경기도,포천시,157939
경기도,여주시,113352
경기도,연천군,42278
경기도,가평군,60233
경기도,양평군,113844
,,1521763
,읍부,253717
,면부,353843
,동부,914203
강원도,춘천시,284645
강원도,원주시,352429
강원도,강릉시,216542
강원도,동해시,87801
강원도,태백시,41494
강원도,속초시,80054
강원도,삼척시,65939
강원도,홍천군,66587
강원도,횡성군,44649
강원도,영월군,36282
강원도,평창군,39258
강원도,정선군,34524
강원도,철원군,43042
강원도,화천군,23733
강원도,양구군,21317
강원도,인제군,30147
강원도,고성군,26572
강원도,양양군,26748
,,1632088
,읍부,350910
,면부,339989
