record,요양기관명,종별코드명,시도코드명,시군구코드명,읍면동,주소,x좌표,y좌표
1763,(의) 예림의료재단 청록요양병원,요양병원,전북,김제시,,전라북도 김제시 남북로 202 (요촌동),126.8849356,35.8021381
1764,(의)대선의료재단으뜸요양병원,요양병원,경기,안산상록구,본오동,"경기도 안산시 상록구 용신로 352 (본오동, 목화웨딩홀)",126.8611509,37.3015417
1765,(의)백천의료재단 우리네요양병원,요양병원,경남,김해시,,경상남도 김해시 내외중앙로 73 (내동),128.8666918,35.2366041
1766,(의)서호의료재단 서호광안요양병원,요양병원,부산,부산수영구,,부산광역시 수영구 수영로536번길 71 (광안동),129.1158587,35.1527373
1767,(의)수의료재단 서청솔요양병원,요양병원,경남,김해시,,경상남도 김해시 금관대로1084번길 15 (흥동)[*미고시],128.8507902,35.2240003
1768,(의)수지의료재단수지요양병원,요양병원,경기,용인수지구,,"경기도 용인시 수지구 풍덕천로22번길 15 수지요양병원 지하1,지상2~6층 (풍덕천동)",127.0848582,37.3168605
1769,(의)영님의료재단 개금중앙요양병원,요양병원,부산,부산진구,,"부산광역시 부산진구 개금온정로 5 지하1,지상3층 (개금동, 성원상떼뷰)",129.0247268,35.153754
1770,(의)유일재단 하나애요양병원,요양병원,경기,용인처인구,,경기도 용인시 처인구 백옥대로916번길 48 (남동),127.2135214,37.219342
1771,(의)일오의료재단성모요양병원,요양병원,경남,김해시,,"경상남도 김해시 김해대로 2479-1 (삼정동, 김해성모병원)",128.8980324,35.2281381
1772,(의)피터의료재단새소망요양병원,요양병원,부산,부산기장군,,부산광역시 기장군 기장읍 기장해안로 552 (),129.226905,35.2228262
1773,(의)현당의료재단 늘봄요양병원,요양병원,경기,용인수지구,,"경기도 용인시 수지구 포은대로59번길 17 광교복합의료센터,지하1층,1층일부,2층~4층,6층 (상현동)",127.0658441,37.3010717
1774,(의)환명의료재단 경상남도립김해노인전문병원,요양병원,경남,김해시,,경상남도 김해시 김해대로 1814-39 (삼계동),128.8610034,35.2616213
1775,(재)대성재단 대성제일요양병원,요양병원,경기,부천시,,경기도 부천시 부흥로373번길 18 (심곡동),126.7838118,37.4920088
1776,(학교법인 경암학원)봉정요양병원,요양병원,전북,군산시,,전라북도 군산시 쌍천로 82-3 (개정동),126.7591357,35.9711595
