4-1. 시도별 이동량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,관내/외 합계,,,,,,,,,,,,,,,,,관내,,,,,,,,,,,,,,,,,관외,,,,,,,,,,,,,,,,
시도별,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주
2019.01.1주차,"22,422,010 ","7,347,118 ","5,238,310 ","6,122,175 ","3,280,028 ","3,225,461 ","2,399,266 ","493,215 ","25,333,681 ","3,520,567 ","3,130,104 ","4,143,948 ","3,797,930 ","3,527,055 ","5,289,342 ","6,459,858 ","1,556,566 ","13,727,971 ","4,723,511 ","3,469,332 ","4,224,066 ","2,279,144 ","2,174,489 ","1,681,320 ","371,955 ","17,730,292 ","2,436,345 ","2,186,905 ","2,972,092 ","2,836,473 ","2,623,657 ","3,883,933 ","4,797,011 ","1,148,926 ","8,694,039 ","2,623,607 ","1,768,978 ","1,898,109 ","1,000,884 ","1,050,972 ","717,946 ","121,260 ","7,603,389 ","1,084,222 ","943,199 ","1,171,856 ","961,457 ","903,398 ","1,405,409 ","1,662,847 ","407,640 "
2019.01.2주차,"23,498,142 ","7,531,725 ","5,404,046 ","6,218,740 ","3,357,589 ","3,319,587 ","2,469,547 ","510,587 ","25,825,734 ","3,393,876 ","3,215,145 ","4,182,247 ","3,889,363 ","3,554,985 ","5,314,733 ","6,592,798 ","1,577,320 ","14,036,359 ","4,848,600 ","3,585,171 ","4,307,144 ","2,330,133 ","2,231,436 ","1,748,078 ","384,672 ","18,069,569 ","2,506,743 ","2,257,129 ","3,056,456 ","2,951,383 ","2,709,218 ","4,028,063 ","4,986,543 ","1,187,004 ","9,461,783 ","2,683,125 ","1,818,875 ","1,911,596 ","1,027,456 ","1,088,151 ","721,469 ","125,915 ","7,756,165 ","887,133 ","958,016 ","1,125,791 ","937,980 ","845,767 ","1,286,670 ","1,606,255 ","390,316 "
2019.01.3주차,"23,639,265 ","7,756,504 ","5,478,338 ","6,228,893 ","3,343,340 ","3,327,870 ","2,481,148 ","511,140 ","25,701,005 ","3,454,727 ","3,194,073 ","4,195,748 ","3,872,915 ","3,554,562 ","5,388,755 ","6,699,122 ","1,600,788 ","14,103,906 ","4,974,854 ","3,641,924 ","4,310,567 ","2,325,664 ","2,233,927 ","1,757,874 ","384,811 ","17,970,887 ","2,497,614 ","2,244,547 ","3,061,236 ","2,957,174 ","2,715,923 ","4,069,856 ","5,058,122 ","1,183,934 ","9,535,359 ","2,781,650 ","1,836,414 ","1,918,326 ","1,017,676 ","1,093,943 ","723,274 ","126,329 ","7,730,118 ","957,113 ","949,526 ","1,134,512 ","915,741 ","838,639 ","1,318,899 ","1,641,000 ","416,854 "
2019.01.4주차,"23,782,766 ","7,930,170 ","5,494,267 ","6,241,110 ","3,351,287 ","3,324,624 ","2,484,365 ","513,326 ","25,855,777 ","3,395,484 ","3,205,635 ","4,196,937 ","3,855,740 ","3,567,148 ","5,378,394 ","6,754,552 ","1,594,748 ","14,129,488 ","5,114,769 ","3,656,183 ","4,313,974 ","2,329,092 ","2,235,270 ","1,758,503 ","387,296 ","18,036,658 ","2,496,703 ","2,252,546 ","3,071,152 ","2,945,894 ","2,722,378 ","4,083,070 ","5,119,506 ","1,190,000 ","9,653,278 ","2,815,401 ","1,838,084 ","1,927,136 ","1,022,195 ","1,089,354 ","725,862 ","126,030 ","7,819,119 ","898,781 ","953,089 ","1,125,785 ","909,846 ","844,770 ","1,295,324 ","1,635,046 ","404,748 "
2019.01.5주차,"23,122,793 ","8,067,421 ","5,601,198 ","6,215,333 ","3,407,587 ","3,322,477 ","2,504,864 ","502,272 ","25,303,537 ","3,308,613 ","3,218,743 ","4,210,213 ","3,963,104 ","3,701,540 ","5,422,275 ","6,806,659 ","1,529,655 ","13,811,478 ","5,136,307 ","3,652,267 ","4,252,140 ","2,297,391 ","2,201,552 ","1,747,008 ","374,198 ","17,548,351 ","2,453,594 ","2,211,008 ","3,007,524 ","2,908,620 ","2,672,428 ","4,027,779 ","5,069,330 ","1,159,872 ","9,311,315 ","2,931,114 ","1,948,931 ","1,963,193 ","1,110,196 ","1,120,925 ","757,856 ","128,074 ","7,755,186 ","855,019 ","1,007,735 ","1,202,689 ","1,054,484 ","1,029,112 ","1,394,496 ","1,737,329 ","369,783 "
2019.02.1주차,"19,754,886 ","7,536,503 ","5,140,914 ","5,691,475 ","3,066,941 ","2,973,774 ","2,249,667 ","449,133 ","23,005,170 ","3,384,214 ","3,155,826 ","4,191,887 ","3,907,292 ","3,819,028 ","5,529,307 ","6,676,384 ","1,445,430 ","12,279,935 ","4,632,001 ","3,226,948 ","3,806,214 ","2,016,387 ","1,935,449 ","1,531,345 ","315,510 ","15,587,358 ","2,165,241 ","1,976,164 ","2,633,964 ","2,567,385 ","2,403,422 ","3,563,511 ","4,480,457 ","1,047,931 ","7,474,951 ","2,904,502 ","1,913,966 ","1,885,261 ","1,050,554 ","1,038,325 ","718,322 ","133,623 ","7,417,812 ","1,218,973 ","1,179,662 ","1,557,923 ","1,339,907 ","1,415,606 ","1,965,796 ","2,195,927 ","397,499 "
2019.02.2주차,"23,664,569 ","8,081,819 ","5,456,520 ","6,199,905 ","3,343,104 ","3,296,175 ","2,524,079 ","506,466 ","25,601,622 ","3,260,974 ","3,173,684 ","4,141,037 ","3,830,590 ","3,528,154 ","5,353,708 ","6,769,045 ","1,569,118 ","14,032,571 ","5,185,150 ","3,604,223 ","4,292,521 ","2,308,274 ","2,217,800 ","1,789,429 ","385,024 ","17,858,702 ","2,476,923 ","2,229,060 ","3,033,439 ","2,909,505 ","2,699,364 ","4,061,607 ","5,104,652 ","1,170,958 ","9,631,998 ","2,896,669 ","1,852,297 ","1,907,384 ","1,034,830 ","1,078,375 ","734,650 ","121,442 ","7,742,920 ","784,051 ","944,624 ","1,107,598 ","921,085 ","828,790 ","1,292,101 ","1,664,393 ","398,160 "
2019.02.3주차,"23,230,448 ","7,924,855 ","5,369,012 ","6,102,977 ","3,291,155 ","3,248,924 ","2,471,044 ","501,201 ","25,344,826 ","3,275,192 ","3,136,548 ","4,113,215 ","3,772,320 ","3,491,067 ","5,296,214 ","6,657,715 ","1,570,373 ","13,653,106 ","5,054,153 ","3,530,283 ","4,196,609 ","2,263,922 ","2,171,459 ","1,744,172 ","377,060 ","17,588,354 ","2,438,674 ","2,188,566 ","2,979,352 ","2,839,719 ","2,642,972 ","3,966,079 ","4,989,694 ","1,155,223 ","9,577,342 ","2,870,702 ","1,838,729 ","1,906,368 ","1,027,233 ","1,077,465 ","726,872 ","124,141 ","7,756,472 ","836,518 ","947,982 ","1,133,863 ","932,601 ","848,095 ","1,330,135 ","1,668,021 ","415,150 "
2019.02.4주차,"22,647,905 ","7,854,090 ","5,310,076 ","6,101,454 ","3,225,248 ","3,180,643 ","2,456,725 ","500,818 ","25,272,086 ","3,527,446 ","3,156,746 ","4,202,936 ","3,817,458 ","3,623,721 ","5,442,113 ","6,768,587 ","1,565,627 ","13,477,099 ","4,959,555 ","3,473,820 ","4,130,025 ","2,213,700 ","2,112,485 ","1,713,006 ","364,800 ","17,334,227 ","2,390,903 ","2,142,025 ","2,912,803 ","2,786,861 ","2,588,345 ","3,891,253 ","4,905,260 ","1,132,775 ","9,170,806 ","2,894,535 ","1,836,256 ","1,971,429 ","1,011,548 ","1,068,158 ","743,719 ","136,018 ","7,937,859 ","1,136,543 ","1,014,721 ","1,290,133 ","1,030,597 ","1,035,376 ","1,550,860 ","1,863,327 ","432,852 "
