시도별,행정구역별(시군구),성별,세대구성별,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
,전국,계,계,11623264,3764489,2660010,1980075,1540870,1032047,645773
,읍부,계,계,1170357,362505,259600,197977,161288,115297,73690
,면부,계,계,1779533,460046,366150,298511,277443,223886,153497
,동부,계,계,8673374,2941938,2034260,1483587,1102139,692864,418586
서울특별시,서울특별시,계,계,2124510,679187,502367,383572,283881,171305,104198
서울특별시,종로구,계,계,34852,10384,7581,5986,5209,3467,2225
서울특별시,중구,계,계,29772,9132,6667,5279,4247,2713,1734
서울특별시,용산구,계,계,48990,15143,10637,8353,6836,4811,3210
서울특별시,성동구,계,계,62418,20417,14169,10878,8602,5311,3041
서울특별시,광진구,계,계,70213,23752,16654,12193,9079,5441,3094
서울특별시,동대문구,계,계,81539,24817,18831,14706,11876,7133,4176
서울특별시,중랑구,계,계,97168,32215,23269,17323,12806,7423,4132
서울특별시,성북구,계,계,97869,29909,22047,17617,14216,8953,5127
서울특별시,강북구,계,계,83650,24580,18938,15730,12931,7526,3945
서울특별시,도봉구,계,계,86238,27753,20054,14959,11763,7315,4394
서울특별시,노원구,계,계,118020,37840,27501,20405,15638,10082,6554
서울특별시,은평구,계,계,113400,34977,25920,20726,16255,10083,5439
서울특별시,서대문구,계,계,70436,21055,15252,12502,10523,7007,4097
서울특별시,마포구,계,계,71183,21665,15545,12539,10431,6793,4210
서울특별시,양천구,계,계,93304,31797,23336,16437,10980,6540,4214
서울특별시,강서구,계,계,126089,42648,30967,22559,14813,9021,6081
서울특별시,구로구,계,계,96116,30669,23518,18083,12540,7270,4036
서울특별시,금천구,계,계,55176,18549,13168,9962,7240,4004,2253
서울특별시,영등포구,계,계,80748,25432,18746,14664,10895,6867,4144
서울특별시,동작구,계,계,87643,26873,20324,16330,12149,7441,4526
서울특별시,관악구,계,계,105565,31825,25050,20365,15387,8483,4455
서울특별시,서초구,계,계,80400,25436,19614,15312,10361,5785,3892
서울특별시,강남구,계,계,100254,31311,24800,19366,12767,7101,4909
서울특별시,송파구,계,계,133309,46177,34339,23519,14877,8428,5969
서울특별시,강동구,계,계,100158,34831,25440,17779,11460,6307,4341
부산광역시,부산광역시,계,계,892277,286923,220398,161257,117195,69790,36714
부산광역시,읍부,계,계,28245,8855,6959,5164,3745,2231,1291
부산광역시,면부,계,계,7535,2392,1810,1386,955,627,365
부산광역시,동부,계,계,856497,275676,211629,154707,112495,66932,35058
부산광역시,중구,계,계,13932,3982,3316,2640,2075,1224,695
부산광역시,서구,계,계,34264,9724,8043,6434,5093,3245,1725
부산광역시,동구,계,계,29438,8210,6894,5548,4540,2816,1430
부산광역시,영도구,계,계,39902,11315,9541,7709,6021,3594,1722
부산광역시,부산진구,계,계,95280,29944,23175,17195,12932,7943,4091
부산광역시,동래구,계,계,68494,22037,17440,12530,8818,5000,2669
부산광역시,남구,계,계,72376,21946,17554,13634,10283,5949,3010
부산광역시,북구,계,계,71686,25868,17787,12105,8370,4920,2636
부산광역시,해운대구,계,계,97281,32013,23664,16902,12532,7865,4305
부산광역시,사하구,계,계,82847,28058,21027,14791,10134,5860,2977
부산광역시,금정구,계,계,65991,20857,16370,11972,8765,5129,2898
부산광역시,강서구,계,계,23257,8545,6057,3735,2476,1534,910
부산광역시,연제구,계,계,55162,17483,13843,10072,7331,4287,2146
부산광역시,수영구,계,계,50046,15129,12343,9635,6706,4061,2172
부산광역시,사상구,계,계,56541,20565,14575,9805,6419,3505,1672
부산광역시,기장군,계,계,35780,11247,8769,6550,4700,2858,1656
대구광역시,대구광역시,계,계,559877,182705,133421,95965,73211,47435,27140
대구광역시,읍부,계,계,40379,14980,9862,6534,4478,2849,1676
대구광역시,면부,계,계,6641,1882,1470,1112,900,754,523
대구광역시,동부,계,계,512857,165843,122089,88319,67833,43832,24941
대구광역시,중구,계,계,19740,5309,4269,3765,3129,2061,1207
대구광역시,동구,계,계,91144,27686,21852,16394,12730,8057,4425
대구광역시,서구,계,계,53086,16723,13253,9423,7186,4325,2176
대구광역시,남구,계,계,44734,12670,10484,8093,6504,4385,2598
대구광역시,북구,계,계,91224,30987,21355,15343,11992,7477,4070
대구광역시,수성구,계,계,92981,29650,21543,15763,12294,8385,5346
대구광역시,달서구,계,계,119948,42818,29333,19538,13998,9142,5119
대구광역시,달성군,계,계,47020,16862,11332,7646,5378,3603,2199
인천광역시,인천광역시,계,계,597761,215673,136787,98279,71247,45759,30016
인천광역시,읍부,계,계,6931,1902,1480,1246,1077,724,502
인천광역시,면부,계,계,27979,7597,5825,5106,4112,3026,2313
인천광역시,동부,계,계,562851,206174,129482,91927,66058,42009,27201
인천광역시,중구,계,계,27203,8656,6311,5042,3643,2119,1432
인천광역시,동구,계,계,18757,5377,4202,3541,2826,1714,1097
인천광역시,연수구,계,계,59460,23896,13356,8746,6216,4197,3049
인천광역시,남동구,계,계,105715,38512,25051,17554,12261,7538,4799
인천광역시,부평구,계,계,107733,39010,24780,17550,12718,8337,5338
인천광역시,계양구,계,계,59148,24059,13268,8519,6255,4308,2739
인천광역시,서구,계,계,88871,35243,20712,13859,9352,5885,3820
인천광역시,미추홀구,계,계,95964,31421,21802,17116,12787,7911,4927
인천광역시,강화군,계,계,27776,7382,5741,5029,4257,3095,2272
인천광역시,옹진군,계,계,7134,2117,1564,1323,932,655,543
광주광역시,광주광역시,계,계,290547,96662,65287,52134,38610,23826,14028
광주광역시,동구,계,계,28733,8008,6305,5465,4469,2902,1584
광주광역시,서구,계,계,60751,20400,13852,10869,7959,4839,2832
광주광역시,남구,계,계,51873,16199,11712,9764,7205,4368,2625
광주광역시,북구,계,계,93279,31605,21342,16672,12078,7243,4339
광주광역시,광산구,계,계,55911,20450,12076,9364,6899,4474,2648
대전광역시,대전광역시,계,계,299964,102881,70114,50097,37683,24168,15021
대전광역시,동구,계,계,57092,17800,13094,10133,8110,5039,2916
대전광역시,중구,계,계,61118,18246,13978,11270,8625,5629,3370
대전광역시,서구,계,계,89680,32076,21307,14681,10501,6733,4382
대전광역시,유성구,계,계,51744,20463,12310,7488,5384,3605,2494
대전광역시,대덕구,계,계,40330,14296,9425,6525,5063,3162,1859
울산광역시,울산광역시,계,계,218134,84906,55024,34583,22620,13350,7651
울산광역시,읍부,계,계,33962,12845,8163,5229,3742,2411,1572
울산광역시,면부,계,계,12566,3799,2944,2111,1663,1212,837
울산광역시,동부,계,계,171606,68262,43917,27243,17215,9727,5242
울산광역시,중구,계,계,49294,18111,12626,8167,5587,3184,1619
울산광역시,남구,계,계,61318,24391,15893,9809,6043,3393,1789
울산광역시,동구,계,계,32186,13547,8515,5079,2798,1448,799
울산광역시,북구,계,계,28808,12213,6883,4188,2787,1702,1035
울산광역시,울주군,계,계,46528,16644,11107,7340,5405,3623,2409
세종특별자치시,세종특별자치시,계,계,48720,16969,11421,7769,5719,3938,2904
세종특별자치시,읍부,계,계,9631,2915,2259,1629,1351,905,572
세종특별자치시,면부,계,계,16460,4479,3524,2694,2375,1965,1423
세종특별자치시,동부,계,계,22629,9575,5638,3446,1993,1068,909
세종특별자치시,세종시,계,계,48720,16969,11421,7769,5719,3938,2904
경기도,경기도,계,계,2529512,883095,575072,414002,316340,208640,132363
경기도,읍부,계,계,294138,98334,66694,49305,38434,25480,15891
경기도,면부,계,계,236466,72218,53004,39108,32600,23718,15818
경기도,동부,계,계,1998908,712543,455374,325589,245306,159442,100654
경기도,수원시,계,계,195000,71541,44515,31327,23274,14865,9478
경기도,장안구,계,계,52080,18124,11495,8527,6691,4395,2848
경기도,권선구,계,계,62962,23957,14750,9916,6975,4496,2868
경기도,팔달구,계,계,37586,12583,8799,6463,4966,3019,1756
경기도,영통구,계,계,42372,16877,9471,6421,4642,2955,2006
경기도,성남시,계,계,189747,65252,43845,31963,23594,15022,10071
경기도,수정구,계,계,54765,18856,13329,9600,6817,3906,2257
경기도,중원구,계,계,49215,17520,11710,8445,6022,3510,2008
경기도,분당구,계,계,85767,28876,18806,13918,10755,7606,5806
경기도,의정부시,계,계,97835,32728,21659,16657,13204,8643,4944
경기도,안양시,계,계,112997,41802,26511,17645,12896,8422,5721
경기도,만안구,계,계,55824,19912,13166,9131,6781,4191,2643
경기도,동안구,계,계,57173,21890,13345,8514,6115,4231,3078
경기도,부천시,계,계,170072,65734,40441,26302,18220,11713,7662
경기도,광명시,계,계,61136,21771,14674,9997,7228,4509,2957
경기도,평택시,계,계,91594,31220,20025,14740,11989,8464,5156
