시도명,지역,확진자수
서울특별시,강남구,"232,985"
서울특별시,강동구,"168,736"
서울특별시,강북구,"105,224"
서울특별시,강서구,"199,446"
서울특별시,관악구,"162,897"
서울특별시,광진구,"128,383"
서울특별시,구로구,"157,712"
서울특별시,금천구,"92,980"
서울특별시,노원구,"168,622"
서울특별시,도봉구,"110,732"
서울특별시,동대문구,"131,044"
서울특별시,동작구,"133,854"
서울특별시,마포구,"135,772"
서울특별시,서대문구,"107,856"
서울특별시,서초구,"163,471"
서울특별시,성동구,"110,116"
서울특별시,성북구,"142,980"
서울특별시,송파구,"249,680"
서울특별시,양천구,"158,378"
서울특별시,영등포구,"163,460"
서울특별시,용산구,"71,479"
서울특별시,은평구,"163,097"
서울특별시,종로구,"73,433"
서울특별시,중구,"88,345"
서울특별시,중랑구,"130,693"
경기도,가평군,"19,602"
경기도,고양시덕양구,"161,141"
경기도,고양시일산동구,"102,240"
경기도,고양시일산서구,"96,866"
경기도,과천시,"27,564"
경기도,광명시,"114,995"
경기도,광주시,"124,139"
경기도,구리시,"77,635"
경기도,군포시,"99,467"
경기도,김포시,"187,655"
경기도,남양주시,"247,605"
경기도,동두천시,"31,835"
경기도,부천시,"273,350"
경기도,성남시분당구,"172,462"
경기도,성남시수정구,"81,311"
경기도,성남시중원구,"74,767"
경기도,수원시권선구,"114,862"
경기도,수원시영통구,"118,400"
경기도,수원시장안구,"90,688"
경기도,수원시팔달구,"87,838"
경기도,시흥시,"193,514"
경기도,안산시단원구,"124,196"
경기도,안산시상록구,"104,453"
경기도,안성시,"61,080"
경기도,안양시동안구,"114,569"
경기도,안양시만안구,"84,588"
경기도,양주시,"78,138"
경기도,양평군,"34,159"
경기도,여주시,"38,896"
경기도,연천군,"13,739"
경기도,오산시,"88,136"
경기도,용인시기흥구,"132,793"
경기도,용인시수지구,"114,609"
경기도,용인시처인구,"117,912"
경기도,의왕시,"63,413"
경기도,의정부시,"165,602"
경기도,이천시,"87,976"
경기도,파주시,"167,068"
경기도,평택시,"229,851"
경기도,포천시,"48,955"
경기도,하남시,"115,522"
경기도,화성시,"344,139"
