시도명,시군구명,병원수,격리병상수,남은 격리병상수,총인구
강원도,강릉시,3.0,79.0,24.0,216542.0
강원도,고성군,0.0,0.0,0.0,26572.0
강원도,동해시,2.0,66.0,1.0,87801.0
강원도,삼척시,1.0,51.0,8.0,65939.0
강원도,속초시,2.0,119.0,5.0,80054.0
강원도,양구군,1.0,3.0,0.0,21317.0
강원도,양양군,0.0,0.0,0.0,26748.0
강원도,영월군,1.0,27.0,1.0,36282.0
강원도,원주시,3.0,131.0,23.0,352429.0
강원도,인제군,0.0,0.0,0.0,30147.0
강원도,정선군,1.0,1.0,0.0,34524.0
강원도,철원군,1.0,1.0,0.0,43042.0
강원도,춘천시,2.0,64.0,13.0,284645.0
강원도,태백시,1.0,3.0,0.0,41494.0
강원도,평창군,1.0,0.0,0.0,39258.0
강원도,홍천군,1.0,0.0,0.0,66587.0
강원도,화천군,1.0,0.0,0.0,23733.0
강원도,횡성군,1.0,1.0,0.0,44649.0
경기도,가평군,0.0,0.0,0.0,60233.0
경기도,고양시,6.0,303.0,76.0,1045497.0
경기도,과천시,0.0,0.0,0.0,58018.0
경기도,광명시,2.0,53.0,3.0,298116.0
경기도,광주시,1.0,47.0,1.0,385141.0
경기도,구리시,1.0,26.0,5.0,192051.0
경기도,군포시,2.0,45.0,13.0,275571.0
경기도,권선구,0.0,0.0,0.0,373381.0
경기도,기흥구,0.0,0.0,0.0,434871.0
경기도,김포시,2.0,183.0,11.0,474546.0
경기도,남양주시,3.0,72.0,10.0,696033.0
경기도,단원구,0.0,0.0,0.0,357366.0
경기도,덕양구,0.0,0.0,0.0,460881.0
경기도,동두천시,0.0,0.0,0.0,95239.0
경기도,동안구,0.0,0.0,0.0,301350.0
경기도,만안구,0.0,0.0,0.0,240986.0
경기도,부천시,4.0,61.0,26.0,833148.0
경기도,분당구,0.0,0.0,0.0,461101.0
경기도,상록구,0.0,0.0,0.0,359979.0
경기도,성남시,6.0,153.0,49.0,922025.0
경기도,수원시,6.0,159.0,56.0,1210150.0
경기도,수정구,0.0,0.0,0.0,249044.0
경기도,수지구,0.0,0.0,0.0,363862.0
경기도,시흥시,3.0,75.0,13.0,535147.0
경기도,안산시,4.0,83.0,20.0,717345.0
경기도,안성시,2.0,7.0,3.0,203030.0
경기도,안양시,2.0,28.0,14.0,542336.0
경기도,양주시,0.0,0.0,0.0,233286.0
경기도,양평군,1.0,0.0,0.0,113844.0
경기도,여주시,1.0,8.0,11.0,113352.0
경기도,연천군,1.0,1.0,0.0,42278.0
경기도,영통구,0.0,0.0,0.0,370340.0
경기도,오산시,1.0,100.0,9.0,240645.0
경기도,용인시,4.0,342.0,88.0,1066975.0
경기도,의왕시,0.0,0.0,0.0,160230.0
경기도,의정부시,5.0,85.0,28.0,449572.0
경기도,이천시,1.0,67.0,7.0,226212.0
경기도,일산동구,0.0,0.0,0.0,292616.0
경기도,일산서구,0.0,0.0,0.0,292000.0
경기도,장안구,0.0,0.0,0.0,278507.0
경기도,중원구,0.0,0.0,0.0,211880.0
경기도,처인구,0.0,0.0,0.0,268242.0
경기도,파주시,2.0,0.0,0.0,460541.0
경기도,팔달구,0.0,0.0,0.0,187922.0
경기도,평택시,4.0,32.0,12.0,542522.0
경기도,포천시,2.0,11.0,4.0,157939.0
경기도,하남시,0.0,0.0,0.0,279795.0
경기도,화성시,4.0,25.0,8.0,880859.0
경상남도,거제시,3.0,52.0,25.0,246965.0
경상남도,거창군,0.0,0.0,0.0,59595.0
경상남도,고성군,1.0,1.0,0.0,50016.0
경상남도,김해시,5.0,134.0,24.0,552427.0
경상남도,남해군,1.0,0.0,-1.0,41587.0
경상남도,마산합포구,0.0,0.0,0.0,172632.0
경상남도,마산회원구,0.0,0.0,0.0,190389.0
경상남도,밀양시,1.0,3.0,0.0,103228.0
경상남도,사천시,2.0,148.0,17.0,111184.0
경상남도,산청군,1.0,1.0,0.0,33500.0
경상남도,성산구,0.0,0.0,0.0,213607.0
경상남도,양산시,2.0,68.0,6.0,351206.0
경상남도,의령군,1.0,1.0,1.0,25965.0
경상남도,의창구,0.0,0.0,0.0,262203.0
경상남도,진주시,6.0,57.0,19.0,352403.0
경상남도,진해구,0.0,0.0,0.0,190558.0
경상남도,창녕군,1.0,1.0,0.0,61302.0
경상남도,창원시,9.0,456.0,83.0,1029389.0
경상남도,통영시,1.0,17.0,2.0,127984.0
경상남도,하동군,0.0,0.0,0.0,41772.0
경상남도,함안군,0.0,0.0,0.0,65279.0
경상남도,함양군,1.0,1.0,0.0,37114.0
경상남도,합천군,1.0,1.0,0.0,42140.0
경상북도,경산시,2.0,6.0,2.0,283733.0
경상북도,경주시,1.0,33.0,11.0,261778.0
경상북도,고령군,1.0,3.0,0.0,31419.0
경상북도,구미시,3.0,66.0,25.0,416603.0
경상북도,군위군,0.0,0.0,0.0,22096.0
경상북도,김천시,2.0,130.0,37.0,139145.0
경상북도,남구,0.0,0.0,0.0,228937.0
경상북도,문경시,2.0,8.0,6.0,68212.0
경상북도,봉화군,0.0,0.0,0.0,29945.0
경상북도,북구,0.0,0.0,0.0,272172.0
경상북도,상주시,2.0,87.0,20.0,95473.0
경상북도,성주군,1.0,3.0,0.0,41574.0
경상북도,안동시,3.0,258.0,54.0,159412.0
경상북도,영덕군,0.0,0.0,0.0,34893.0
경상북도,영양군,0.0,0.0,0.0,15743.0
경상북도,영주시,1.0,143.0,47.0,103818.0
경상북도,영천시,1.0,3.0,1.0,100353.0
경상북도,예천군,1.0,0.0,0.0,53718.0
경상북도,울릉군,1.0,0.0,0.0,8444.0
경상북도,울진군,1.0,4.0,0.0,47151.0
경상북도,의성군,1.0,0.0,0.0,49243.0
경상북도,청도군,1.0,0.0,0.0,41378.0
경상북도,청송군,1.0,0.0,0.0,23761.0
경상북도,칠곡군,0.0,0.0,0.0,115756.0
경상북도,포항시,5.0,302.0,68.0,501109.0
광주광역시,광산구,5.0,47.0,8.0,422502.0
광주광역시,남구,3.0,43.0,5.0,214860.0
광주광역시,동구,2.0,68.0,24.0,106005.0
광주광역시,북구,5.0,36.0,9.0,439352.0
광주광역시,서구,4.0,46.0,9.0,294854.0
대구광역시,남구,4.0,138.0,58.0,145588.0
대구광역시,달서구,6.0,92.0,44.0,566712.0
대구광역시,달성군,0.0,0.0,0.0,261013.0
대구광역시,동구,1.0,56.0,11.0,333294.0
대구광역시,북구,2.0,279.0,47.0,446466.0
대구광역시,서구,1.0,155.0,40.0,170437.0
대구광역시,수성구,1.0,2.0,0.0,412912.0
대구광역시,중구,3.0,154.0,49.0,74278.0
대전광역시,대덕구,2.0,113.0,6.0,176393.0
대전광역시,동구,1.0,24.0,8.0,232559.0
대전광역시,서구,3.0,46.0,29.0,478629.0
대전광역시,유성구,1.0,38.0,9.0,368895.0
대전광역시,중구,3.0,104.0,28.0,231959.0
부산광역시,강서구,0.0,0.0,0.0,136734.0
부산광역시,금정구,0.0,0.0,0.0,237219.0
부산광역시,기장군,2.0,24.0,3.0,169465.0
부산광역시,남구,1.0,29.0,11.0,269111.0
부산광역시,동구,2.0,43.0,7.0,87246.0
부산광역시,동래구,3.0,34.0,21.0,263345.0
부산광역시,부산진구,4.0,80.0,20.0,351403.0
부산광역시,북구,2.0,10.0,3.0,280177.0
부산광역시,사상구,2.0,41.0,5.0,216350.0
부산광역시,사하구,0.0,0.0,0.0,312057.0
부산광역시,서구,4.0,156.0,40.0,105303.0
부산광역시,수영구,2.0,39.0,13.0,171461.0
부산광역시,연제구,1.0,125.0,35.0,204947.0
부산광역시,영도구,2.0,33.0,3.0,113224.0
부산광역시,중구,1.0,24.0,6.0,41439.0
부산광역시,해운대구,2.0,41.0,21.0,389535.0
서울특별시,강남구,2.0,69.0,33.0,508135.0
서울특별시,강동구,3.0,231.0,36.0,444434.0
서울특별시,강북구,0.0,0.0,0.0,299535.0
서울특별시,강서구,2.0,161.0,19.0,564854.0
서울특별시,관악구,1.0,56.0,10.0,502641.0
서울특별시,광진구,2.0,28.0,5.0,353967.0
서울특별시,구로구,2.0,131.0,27.0,435442.0
서울특별시,금천구,1.0,5.0,0.0,249419.0
서울특별시,노원구,3.0,71.0,20.0,511982.0
서울특별시,도봉구,1.0,8.0,1.0,315979.0
서울특별시,동대문구,4.0,223.0,22.0,351057.0
서울특별시,동작구,2.0,115.0,14.0,392772.0
서울특별시,마포구,0.0,0.0,0.0,365612.0
서울특별시,서대문구,2.0,80.0,32.0,317209.0
서울특별시,서초구,1.0,40.0,17.0,401749.0
서울특별시,성동구,1.0,42.0,12.0,291918.0
서울특별시,성북구,1.0,41.0,19.0,438833.0
서울특별시,송파구,2.0,150.0,45.0,643288.0
서울특별시,양천구,3.0,94.0,23.0,439068.0
서울특별시,영등포구,5.0,92.0,34.0,403619.0
서울특별시,용산구,1.0,21.0,6.0,225882.0
서울특별시,은평구,2.0,20.0,11.0,463102.0
서울특별시,종로구,4.0,285.0,62.0,151291.0
서울특별시,중구,2.0,311.0,130.0,128744.0
서울특별시,중랑구,3.0,208.0,-81.0,385663.0
세종특별자치시,세종시,2.0,32.0,9.0,353933.0
울산광역시,남구,3.0,72.0,11.0,320175.0
울산광역시,동구,1.0,114.0,15.0,159000.0
울산광역시,북구,1.0,11.0,10.0,217051.0
울산광역시,울주군,1.0,1.0,1.0,225050.0
울산광역시,중구,1.0,31.0,12.0,214147.0
인천광역시,강화군,1.0,2.0,1.0,66020.0
인천광역시,계양구,2.0,272.0,16.0,292852.0
인천광역시,남동구,2.0,102.0,31.0,528927.0
인천광역시,동구,1.0,10.0,0.0,61285.0
인천광역시,미추홀구,2.0,62.0,10.0,405886.0
인천광역시,부평구,2.0,218.0,25.0,500812.0
인천광역시,서구,5.0,219.0,63.0,541534.0
인천광역시,연수구,1.0,27.0,6.0,390260.0
인천광역시,옹진군,1.0,1.0,0.0,19292.0
인천광역시,중구,2.0,91.0,45.0,138586.0
전라남도,강진군,1.0,49.0,9.0,32778.0
전라남도,고흥군,2.0,7.0,0.0,60045.0
전라남도,곡성군,1.0,1.0,0.0,27349.0
전라남도,광양시,1.0,1.0,0.0,143928.0
