,,요양기관수,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,확진자수
강원도,강릉시,3.0,61339,18656,13586,9988,8900,6185,4024,65832.0
강원도,고성군,,10021,2677,2123,1632,1680,1171,738,7615.0
강원도,동해시,3.0,24762,7662,5655,4087,3680,2278,1400,28349.0
강원도,삼척시,1.0,21481,6050,4525,3591,3311,2377,1627,17543.0
강원도,속초시,2.0,22194,7239,4986,3556,3055,2062,1296,27323.0
강원도,양구군,,6228,1921,1271,895,1031,708,402,8372.0
강원도,양양군,,10670,2876,2367,1771,1742,1177,737,7309.0
강원도,영월군,1.0,14753,4248,3297,2309,2283,1671,945,9242.0
강원도,원주시,8.0,76620,26789,16898,10822,10081,7434,4596,121739.0
강원도,인제군,1.0,9039,2900,1960,1246,1338,964,631,11613.0
강원도,정선군,,13359,4061,2948,2157,2041,1348,804,7577.0
강원도,철원군,1.0,13060,3674,2634,2243,2265,1473,771,15572.0
강원도,춘천시,8.0,68563,21478,14964,10196,10015,7299,4611,102821.0
강원도,태백시,,13869,4120,3252,2507,2085,1299,606,14407.0
강원도,평창군,2.0,15742,4797,3493,2470,2278,1748,956,9659.0
강원도,홍천군,3.0,24317,7508,5379,3635,3325,2737,1733,19934.0
강원도,화천군,,7159,2040,1475,1101,1194,864,485,11087.0
강원도,횡성군,1.0,18100,5557,3997,2721,2588,1983,1254,11358.0
경기도,가평군,4.0,20727,6227,4697,3225,2990,2147,1441,19602.0
경기도,고양시,30.0,206667,71951,43059,32104,27180,19838,12535,360247.0
경기도,과천시,,12191,4169,2695,1938,1491,1073,825,27564.0
경기도,광명시,5.0,61136,21771,14674,9997,7228,4509,2957,114995.0
경기도,광주시,6.0,75227,27399,18471,12469,8635,5097,3156,124139.0
경기도,구리시,4.0,39356,14167,9133,6367,4829,3021,1839,77635.0
경기도,군포시,7.0,54274,20161,11980,8232,6305,4426,3170,99467.0
경기도,권선구,,62962,23957,14750,9916,6975,4496,2868,
경기도,기흥구,,76832,22909,17173,14483,11085,6894,4288,
경기도,김포시,6.0,81981,27553,19308,14450,10295,6307,4068,187655.0
경기도,남양주시,16.0,139890,46476,32447,24238,18547,11449,6733,247605.0
경기도,단원구,,50302,20893,11316,7233,5088,3468,2304,
경기도,덕양구,,97437,32830,21014,15902,13131,9158,5402,
경기도,동두천시,8.0,24519,7188,5059,4346,3838,2669,1419,31835.0
경기도,동안구,,57173,21890,13345,8514,6115,4231,3078,
경기도,만안구,,55824,19912,13166,9131,6781,4191,2643,
경기도,부천시,23.0,170072,65734,40441,26302,18220,11713,7662,273350.0
경기도,분당구,,85767,28876,18806,13918,10755,7606,5806,
경기도,상록구,,60364,23258,12928,8951,7183,4934,3110,
경기도,성남시,16.0,189747,65252,43845,31963,23594,15022,10071,328540.0
경기도,수원시,21.0,195000,71541,44515,31327,23274,14865,9478,411788.0
경기도,수정구,,54765,18856,13329,9600,6817,3906,2257,
경기도,수지구,,65160,18396,14467,12964,10005,5862,3466,
경기도,시흥시,12.0,71949,28892,15976,10562,7922,5378,3219,193514.0
경기도,안산시,17.0,110666,44151,24244,16184,12271,8402,5414,228649.0
경기도,안성시,9.0,43950,13887,9944,7169,5802,4409,2739,61080.0
경기도,안양시,7.0,112997,41802,26511,17645,12896,8422,5721,199157.0
경기도,양주시,12.0,49050,16144,11062,8493,6761,4133,2457,78138.0
경기도,양평군,8.0,39331,11581,9357,6643,5519,3693,2538,34159.0
경기도,여주시,6.0,32029,9811,7539,5045,4470,3108,2056,38896.0
경기도,연천군,1.0,14575,4048,2968,2560,2228,1716,1055,13739.0
경기도,영통구,,42372,16877,9471,6421,4642,2955,2006,
경기도,오산시,5.0,32612,11829,7510,5299,4094,2506,1374,88136.0
경기도,용인시,23.0,193234,58579,43548,35901,27571,16996,10639,365314.0
경기도,의왕시,4.0,33625,12793,7892,5069,3667,2447,1757,63413.0
경기도,의정부시,8.0,97835,32728,21659,16657,13204,8643,4944,165602.0
경기도,이천시,6.0,43451,14662,9781,6826,5563,3994,2625,87976.0
경기도,일산동구,,54434,19906,11159,8087,6795,5067,3420,
경기도,일산서구,,54796,19215,10886,8115,7254,5613,3713,
경기도,장안구,,52080,18124,11495,8527,6691,4395,2848,
경기도,중원구,,49215,17520,11710,8445,6022,3510,2008,
경기도,처인구,,51242,17274,11908,8454,6481,4240,2885,
경기도,파주시,22.0,87190,27910,18513,14666,12423,8445,5233,167068.0
경기도,팔달구,,37586,12583,8799,6463,4966,3019,1756,
경기도,평택시,9.0,91594,31220,20025,14740,11989,8464,5156,229851.0
경기도,포천시,5.0,40082,13833,8521,6332,5207,3834,2355,48955.0
경기도,하남시,6.0,54316,19535,13877,9437,5788,3412,2267,115522.0
경기도,화성시,12.0,110239,40101,25821,17816,12539,8502,5460,344139.0
경상남도,거제시,2.0,40559,15736,9723,6082,4299,2778,1941,81337.0
경상남도,거창군,3.0,21248,5427,4241,3523,3257,2882,1918,18390.0
경상남도,고성군,2.0,19539,4862,4146,3431,2975,2412,1713,12690.0
경상남도,김해시,32.0,90046,33918,21210,14258,10438,6590,3632,176743.0
경상남도,남해군,1.0,19264,4227,3698,3378,3078,2731,2152,9062.0
경상남도,마산합포구,,50699,15885,12480,9134,6627,4152,2421,
경상남도,마산회원구,,47959,16306,12544,8505,5682,3284,1638,
경상남도,밀양시,4.0,38185,10976,8845,6477,5372,3984,2531,28115.0
경상남도,사천시,5.0,31190,8624,6919,5541,4607,3407,2092,34307.0
경상남도,산청군,1.0,15115,3659,3097,2493,2455,2069,1342,7877.0
경상남도,성산구,,32458,15240,7865,4203,2434,1649,1067,
경상남도,양산시,14.0,68382,23903,16452,11446,8440,5260,2881,116776.0
경상남도,의령군,2.0,11607,2741,2277,1863,1894,1669,1163,5838.0
경상남도,의창구,,50946,20451,12728,7583,5038,3227,1919,
경상남도,진주시,7.0,81098,25564,18518,14050,10829,7431,4706,114604.0
경상남도,진해구,,39101,13178,9608,6547,4771,3185,1812,
경상남도,창녕군,7.0,23538,6354,4977,3999,3602,2817,1789,14991.0
경상남도,창원시,39.0,221163,81060,55225,35972,24552,15497,8857,357552.0
경상남도,통영시,3.0,34607,11212,8302,6000,4607,2842,1644,38176.0
경상남도,하동군,2.0,18671,4552,3727,3114,2933,2535,1810,9520.0
경상남도,함안군,3.0,20276,5803,4440,3374,2901,2284,1474,16887.0
경상남도,함양군,,15933,3787,3048,2647,2632,2347,1472,9738.0
경상남도,합천군,2.0,20208,4575,3825,3374,3428,3029,1977,9524.0
경상북도,경산시,9.0,61212,19386,14253,10525,8128,5653,3267,85732.0
경상북도,경주시,12.0,74723,22026,16887,12773,10557,7637,4843,66766.0
경상북도,고령군,1.0,12117,3116,2634,2061,1792,1546,968,6665.0
경상북도,구미시,10.0,61370,23914,14259,8797,6618,4700,3082,128895.0
경상북도,군위군,,11256,2640,2305,1912,1880,1505,1014,4831.0
경상북도,김천시,3.0,41801,11625,9261,6984,5852,4835,3244,38493.0
경상북도,남구,,58218,20390,15219,9748,6742,3973,2146,
경상북도,문경시,1.0,26791,7032,5660,4627,4167,3263,2042,19096.0
경상북도,봉화군,1.0,14060,3487,2917,2269,2250,1887,1250,5993.0
경상북도,북구,,67469,23592,16998,11012,7877,5038,2952,
경상북도,상주시,3.0,37968,9716,7752,6397,5735,4989,3379,22978.0
경상북도,성주군,5.0,16963,4546,3799,3014,2352,1875,1377,8584.0
경상북도,안동시,7.0,49496,13511,10875,8276,7577,5591,3666,46128.0
경상북도,영덕군,2.0,16332,3642,3281,2731,2956,2303,1419,9130.0
경상북도,영양군,,7531,1746,1508,1225,1372,1030,650,3131.0
경상북도,영주시,4.0,35783,9624,8048,6022,5430,4077,2582,31132.0
경상북도,영천시,3.0,35791,9399,7872,6326,5526,4103,2565,26058.0
경상북도,예천군,2.0,20355,4728,4163,3323,3284,2888,1969,15490.0
경상북도,울릉군,1.0,2976,906,682,522,414,276,176,1393.0
경상북도,울진군,2.0,16988,4401,3278,2744,2702,2251,1612,12321.0
경상북도,의성군,5.0,25461,5825,5248,4236,4316,3524,2312,10492.0
경상북도,청도군,5.0,19310,4629,4267,3403,2833,2473,1705,9626.0
경상북도,청송군,,11447,2827,2398,1931,1923,1480,888,6138.0
경상북도,칠곡군,5.0,23970,7516,5180,3850,3275,2518,1631,28322.0
