시도명,시군구명,60~64세,60세 이상 - 계,65~69세,70~74세,75~79세,80~84세,85세이상,격리병상수,남은 격리병상수,병원수,예측된 사망자수,요양기관수,총인구,확진자수
강원도,강릉시,18656,61339,13586,9988,8900,6185,4024,79.0,24.0,3.0,107.38528762826297,3.0,216542.0,65832.0
강원도,동해시,7662,24762,5655,4087,3680,2278,1400,66.0,1.0,2.0,53.19624886562883,3.0,87801.0,28349.0
강원도,삼척시,6050,21481,4525,3591,3311,2377,1627,51.0,8.0,1.0,43.75754250454514,1.0,65939.0,17543.0
강원도,속초시,7239,22194,4986,3556,3055,2062,1296,119.0,5.0,2.0,48.38262180095421,2.0,80054.0,27323.0
강원도,영월군,4248,14753,3297,2309,2283,1671,945,27.0,1.0,1.0,33.28519058570754,1.0,36282.0,9242.0
강원도,원주시,26789,76620,16898,10822,10081,7434,4596,131.0,23.0,3.0,145.81433893447158,8.0,352429.0,121739.0
강원도,인제군,2900,9039,1960,1246,1338,964,631,0.0,0.0,0.0,26.857952572996,1.0,30147.0,11613.0
강원도,철원군,3674,13060,2634,2243,2265,1473,771,1.0,0.0,1.0,33.15182097340704,1.0,43042.0,15572.0
강원도,춘천시,21478,68563,14964,10196,10015,7299,4611,64.0,13.0,2.0,129.87532657415616,8.0,284645.0,102821.0
강원도,평창군,4797,15742,3493,2470,2278,1748,956,0.0,0.0,1.0,35.558332276340195,2.0,39258.0,9659.0
강원도,홍천군,7508,24317,5379,3635,3325,2737,1733,0.0,0.0,1.0,48.95044863757283,3.0,66587.0,19934.0
강원도,횡성군,5557,18100,3997,2721,2588,1983,1254,1.0,0.0,1.0,37.619626641685045,1.0,44649.0,11358.0
경기도,가평군,6227,20727,4697,3225,2990,2147,1441,0.0,0.0,0.0,45.96685735110316,4.0,60233.0,19602.0
경기도,고양시,71951,206667,43059,32104,27180,19838,12535,303.0,76.0,6.0,392.4093223936555,30.0,1045497.0,360247.0
경기도,광명시,21771,61136,14674,9997,7228,4509,2957,53.0,3.0,2.0,123.40654617304915,5.0,298116.0,114995.0
경기도,광주시,27399,75227,18471,12469,8635,5097,3156,47.0,1.0,1.0,147.46690806792253,6.0,385141.0,124139.0
경기도,구리시,14167,39356,9133,6367,4829,3021,1839,26.0,5.0,1.0,85.21180616719619,4.0,192051.0,77635.0
경기도,군포시,20161,54274,11980,8232,6305,4426,3170,45.0,13.0,2.0,112.23187843670729,7.0,275571.0,99467.0
