,지역명,병원수,격리병상수,남은 격리병상수,총인구,요양기관수,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,확진자수,사망자수
0,강원도,18.0,539.0,75.0,1347375.0,34.0,369970,116558,81374,56864,53119,38211,23844,440985.0,746
1,경상남도,35.0,940.0,176.0,3295942.0,129.0,774696,253193,179622,128375,99667,70217,43622,1052389.0,1134
2,경상북도,29.0,1046.0,271.0,2583157.0,111.0,719154,213011,162533,119640,100383,75400,48187,731978.0,1203
3,광주광역시,19.0,240.0,55.0,1477573.0,60.0,290547,96662,65287,52134,38610,23826,14028,518968.0,520
4,대구광역시,18.0,876.0,249.0,2410700.0,75.0,559877,182705,133421,95965,73211,47435,27140,734292.0,1243
5,대전광역시,10.0,325.0,80.0,1488435.0,47.0,299964,102881,70114,50097,37683,24168,15021,496421.0,612
6,부산광역시,28.0,679.0,188.0,3212282.0,169.0,869020,278378,214341,157522,114719,68256,35804,1026370.0,2002
7,서울특별시,47.0,2150.0,361.0,9231569.0,125.0,2045748,654912,485063,369940,272798,163781,99254,3391551.0,4504
8,세종특별자치시,2.0,32.0,9.0,353933.0,5.0,48720,16969,11421,7769,5719,3938,2904,134571.0,34
9,울산광역시,7.0,229.0,49.0,1135423.0,40.0,218134,84906,55024,34583,22620,13350,7651,366309.0,322
10,인천광역시,17.0,993.0,197.0,2864877.0,68.0,571870,208179,131021,93415,67489,43390,28376,1019114.0,1312
11,전라남도,35.0,497.0,124.0,1740538.0,83.0,517976,139367,105140,92250,81021,60987,39211,565343.0,379
12,전라북도,17.0,568.0,137.0,1735829.0,84.0,463566,131944,99136,84540,67092,48283,32571,564574.0,803
13,제주특별자치도,5.0,170.0,42.0,492306.0,10.0,96682,31190,21025,16203,12577,8992,6695,173609.0,158
14,충청남도,16.0,585.0,57.0,2098798.0,67.0,496840,144876,105977,83977,69389,54360,38261,674023.0,859
15,충청북도,14.0,696.0,100.0,1593995.0,41.0,374360,119893,83793,58316,51431,37148,23779,529385.0,660
16,경기도가평군,0.0,0.0,0.0,60233.0,4.0,20727,6227,4697,3225,2990,2147,1441,19602.0,16
17,경기도고양시,6.0,303.0,76.0,1045497.0,30.0,206667,71951,43059,32104,27180,19838,12535,360247.0,649
18,경기도광명시,2.0,53.0,3.0,298116.0,5.0,61136,21771,14674,9997,7228,4509,2957,114995.0,126
19,경기도광주시,1.0,47.0,1.0,385141.0,6.0,75227,27399,18471,12469,8635,5097,3156,124139.0,123
20,경기도구리시,1.0,26.0,5.0,192051.0,4.0,39356,14167,9133,6367,4829,3021,1839,77635.0,140
21,경기도군포시,2.0,45.0,13.0,275571.0,7.0,54274,20161,11980,8232,6305,4426,3170,99467.0,185
22,경기도김포시,2.0,183.0,11.0,474546.0,6.0,81981,27553,19308,14450,10295,6307,4068,187655.0,171
23,경기도남양주시,3.0,72.0,10.0,696033.0,16.0,139890,46476,32447,24238,18547,11449,6733,247605.0,417
24,경기도동두천시,0.0,0.0,0.0,95239.0,8.0,24519,7188,5059,4346,3838,2669,1419,31835.0,95
25,경기도부천시,4.0,61.0,26.0,833148.0,23.0,170072,65734,40441,26302,18220,11713,7662,273350.0,563
26,경기도성남시,6.0,153.0,49.0,922025.0,16.0,189747,65252,43845,31963,23594,15022,10071,328540.0,414
27,경기도수원시,6.0,159.0,56.0,1210150.0,21.0,195000,71541,44515,31327,23274,14865,9478,411788.0,477
28,경기도시흥시,3.0,75.0,13.0,535147.0,12.0,71949,28892,15976,10562,7922,5378,3219,193514.0,186
29,경기도안산시,4.0,83.0,20.0,717345.0,17.0,110666,44151,24244,16184,12271,8402,5414,228649.0,323
30,경기도안성시,2.0,7.0,3.0,203030.0,9.0,43950,13887,9944,7169,5802,4409,2739,61080.0,59
31,경기도안양시,2.0,28.0,14.0,542336.0,7.0,112997,41802,26511,17645,12896,8422,5721,199157.0,234
32,경기도양주시,0.0,0.0,0.0,233286.0,12.0,49050,16144,11062,8493,6761,4133,2457,78138.0,168
33,경기도양평군,1.0,0.0,0.0,113844.0,8.0,39331,11581,9357,6643,5519,3693,2538,34159.0,72
34,경기도여주시,1.0,8.0,11.0,113352.0,6.0,32029,9811,7539,5045,4470,3108,2056,38896.0,73
35,경기도연천군,1.0,1.0,0.0,42278.0,1.0,14575,4048,2968,2560,2228,1716,1055,13739.0,20
36,경기도오산시,1.0,100.0,9.0,240645.0,5.0,32612,11829,7510,5299,4094,2506,1374,88136.0,74
37,경기도용인시,4.0,342.0,88.0,1066975.0,23.0,193234,58579,43548,35901,27571,16996,10639,365314.0,359
38,경기도의왕시,0.0,0.0,0.0,160230.0,4.0,33625,12793,7892,5069,3667,2447,1757,63413.0,56
39,경기도의정부시,5.0,85.0,28.0,449572.0,8.0,97835,32728,21659,16657,13204,8643,4944,165602.0,358
40,경기도이천시,1.0,67.0,7.0,226212.0,6.0,43451,14662,9781,6826,5563,3994,2625,87976.0,63
41,경기도파주시,2.0,0.0,0.0,460541.0,22.0,87190,27910,18513,14666,12423,8445,5233,167068.0,208
42,경기도평택시,4.0,32.0,12.0,542522.0,9.0,91594,31220,20025,14740,11989,8464,5156,229851.0,191
43,경기도포천시,2.0,11.0,4.0,157939.0,5.0,40082,13833,8521,6332,5207,3834,2355,48955.0,79
44,경기도하남시,0.0,0.0,0.0,279795.0,6.0,54316,19535,13877,9437,5788,3412,2267,115522.0,88
45,경기도화성시,4.0,25.0,8.0,880859.0,12.0,110239,40101,25821,17816,12539,8502,5460,344139.0,149
